Language,Folder,Filename,TTR,HL,MSL,FWF,HER,PVU,FK,PU,IIR,Gender
EN,EN-Psy,19.pdf,0.2710239651416122,0.1657516339869281,17.873831775700936,0.2797420156966353,0.0045846608128059674,0.16355140186915887,35.6020803555067,4.671023965141612,0.18892185954500496,M
EN,EN-Psy,20.pdf,0.21804170444242973,0.126538013210724,15.213793103448277,0.2273807453776155,0.0030719295195038546,0.19310344827586207,37.987702758710014,1.9492293744333637,0.10231292517006803,M
EN,EN-Psy,21.pdf,0.20416857835747526,0.11489807957003342,22.737704918032787,0.27455213864737116,0.005718620528680633,0.10879284649776454,36.48668765855396,8.04221013305368,0.2237423400313524,F
EN,EN-Psy,22.pdf,0.25598224623697413,0.15052103434967193,17.961871750433275,0.1951741250962608,0.004706083682724395,0.1733102253032929,29.958292994614766,1.9104592821304514,0.12753991291727143,F
EN,EN-Psy,23.pdf,0.17186877407358214,0.08912206136273078,24.685245901639345,0.2434745915968413,0.008801012719271807,0.24262295081967214,26.20379470854772,2.437242661708062,0.13392612859097128,M
EN,EN-Psy,24.pdf,0.2496097280420672,0.14739955632240573,16.764462809917354,0.2696578291411738,0.003096910642797794,0.1184573002754821,35.90420704852548,5.085859830745214,0.1599320882852292,M
EN,EN-Psy,25.pdf,0.23136983593595573,0.131745404230085,19.684824902723737,0.20471596998928188,0.006162915326902465,0.17120622568093385,25.07976929815726,1.6604071950978454,0.10393580435613298,M
EN,EN-Psy,26.pdf,0.2710843373493976,0.17273746147380217,23.557755775577558,0.2952843273231623,0.0036061026352288486,0.20462046204620463,42.41771369613849,6.934715606612496,0.20481075344888575,M
EN,EN-Psy,27.pdf,0.2225145137880987,0.13851596516690856,23.965217391304346,0.3109163484901076,0.0020826102047900035,0.1956521739130435,27.975634536505368,4.009433962264151,0.14803754266211602,M
EN,EN-Psy,28.pdf,0.17858146725381804,0.09153939848215122,22.235416666666666,0.3469531525184924,0.008629799225079253,0.3416666666666667,41.58826701821576,10.15646959617727,0.26641357748995087,M
EN,EN-Psy,29.pdf,0.21284005450966537,0.12769393832332307,20.53160621761658,0.31744833443427384,0.004859865999811267,0.19378238341968912,42.68823753598741,7.535456518447484,0.2231866088034718,M
EN,EN-Psy,30.pdf,0.22583431488025127,0.1316058107577542,20.474276527331188,0.2988269347958562,0.0060176721511273614,0.17845659163987138,40.968096957267676,5.535924617196701,0.1980718667835232,F
ES,ES-His,1.pdf,0.23312272805954648,0.14730829150077895,21.396296296296295,0.3513866764693869,0.001511252705959237,0.1111111111111111,20.750371341654983,2.981651376146789,,M
ES,ES-His,2.pdf,0.309463986599665,0.2028894472361809,26.681564245810055,0.18548229309332812,0.000782625709254549,0.1340782122905028,15.902709777940004,3.350083752093802,,F
ES,ES-His,3.pdf,0.2175019496777901,0.1377498666009933,22.008130081300813,0.36159089148787854,0.0014328866857718225,0.13911472448057813,18.90118091908664,4.047120633747896,,M
ES,ES-His,4.pdf,0.2922037714607374,0.19082465522094005,15.651982378854626,0.15396495712840177,0.0008521063002609575,0.07665198237885462,28.224792909386025,2.6287644244300594,,M
ES,ES-His,5.pdf,0.2152232746955345,0.12801082543978348,17.266355140186917,0.29616681233612185,0.0011861655637407916,0.0455607476635514,35.890583226891636,1.6779431664411366,,M
ES,ES-His,6.pdf,0.2575992370961974,0.16527595660984623,21.677002583979327,0.1685808728780324,0.0016247408818421201,0.12144702842377261,25.49561505576858,4.0767671951364886,,M
ES,ES-His,7.pdf,0.1572933549432739,0.08877633711507293,22.915506035283194,0.13422535751255607,0.0,0.07985143918291551,54.468208699957444,9.189627228525122,,M
ES,ES-His,8.pdf,0.28992866642485793,0.18921533067343732,24.04360465116279,0.41367959034381857,0.000975371860521824,0.18895348837209303,13.598967612040383,3.977753596904848,,M
ES,ES-His,9.pdf,0.23296391280454296,0.14764608902729437,26.69437652811736,0.36670567329779397,0.0019069908551120358,0.1271393643031785,13.930251788056893,3.2744092324601577,,M
ES,ES-His,10.pdf,0.29026104417670684,0.1889558232931727,23.65795724465558,0.351867532223163,0.0005644933672029354,0.1163895486935867,17.21512520390351,3.775100401606426,,M
ES,ES-His,11.pdf,0.29531196532451237,0.19744496406980724,26.406626506024097,0.3799212598425197,0.0012737378415933302,0.20481927710843373,7.831179080986885,3.661457739249458,,M
ES,ES-His,12.pdf,0.27652092369007153,0.18180752549525261,25.2396449704142,0.43838432700447455,0.001088402467045592,0.1863905325443787,14.88270807510932,7.021451178056499,,M
ES,ES-His,13.pdf,0.3534258456201214,0.26138334778837813,25.622222222222224,0.4013882767739092,0.0016527104451300133,0.2222222222222222,4.29106369856413,5.724197745013009,,F
ES,ES-His,14.pdf,0.3086623453152622,0.21803182086034179,26.107692307692307,0.420597767374865,0.0010803024846957148,0.21846153846153846,-8.027678346403121,6.1756040070713025,,F
ES,ES-His,15.pdf,0.3193991781210146,0.2233243587926881,21.515243902439025,0.38529120022672525,0.0008502196400736857,0.2073170731707317,-1.573725005357062,4.46365311038685,,M
ES,ES-His,16.pdf,0.30055329366322164,0.20659776594634097,25.476063829787233,0.4109472790919699,0.0010607828577490189,0.22074468085106383,10.010431291688633,6.190625326234471,,F
ES,ES-His,17.pdf,0.30780033192901823,0.21243457168390145,24.175925925925927,0.38563724845455744,0.0010522162304353545,0.2191358024691358,-6.0203782962395564,4.136346227499042,,M
